COD_ESTRUTURADO,NOME_UNIDADE,NOME_CENTRO,SIGLA_CENTRO,TIPO_UNIDADE,SITUACAO
07.67.00.00.0.0,Departamento de Computação Aplicada,Centro de Tecnologia,CT,Departamento Didático,Formal
07.37.00.00.0.0,Departamento de Eletromecânica e Sistemas de Potência,Centro de Tecnologia,CT,Departamento Didático,Formal
07.38.00.00.0.0,Departamento de Eletrônica e Computação,Centro de Tecnologia,CT,Departamento Didático,Formal
07.36.00.00.0.0,Departamento de Engenharia de Produção e Sistemas,Centro de Tecnologia,CT,Departamento Didático,Formal
07.35.00.00.0.0,Departamento de Engenharia Mecânica,Centro de Tecnologia,CT,Departamento Didático,Formal
07.34.00.00.0.0,Departamento de Engenharia Química,Centro de Tecnologia,CT,Departamento Didático,Formal
07.63.00.00.0.0,Departamento de Engenharia Sanitária e Ambiental,Centro de Tecnologia,CT,Departamento Didático,Formal
07.31.00.00.0.0,Departamento de Estruturas e Construção Civil,Centro de Tecnologia,CT,Departamento Didático,Formal
07.30.00.00.0.0,Departamento de Expressão Gráfica,Centro de Tecnologia,CT,Departamento Didático,Formal
07.66.00.00.0.0,Departamento de Linguagens e Sistemas de Computação,Centro de Tecnologia,CT,Departamento Didático,Formal
07.54.00.00.0.0,Departamento de Processamento de Energia Elétrica,Centro de Tecnologia,CT,Departamento Didático,Formal
07.33.00.00.0.0,Departamento de Transportes,Centro de Tecnologia,CT,Departamento Didático,Formal
32.17.00.00.0.0,Departamento de Administração - PM,Campus da UFSM em Palmeira Das Missões,PM,Departamento Didático,Formal
32.20.00.00.0.0,Departamento de Alimentos e Nutrição - PM,Campus da UFSM em Palmeira Das Missões,PM,Departamento Didático,Formal
32.18.00.00.0.0,Departamento de Ciências da Saúde - PM,Campus da UFSM em Palmeira Das Missões,PM,Departamento Didático,Formal
32.21.00.00.0.0,Departamento de Ciências Econômicas - PM,Campus da UFSM em Palmeira Das Missões,PM,Departamento Didático,Formal
32.19.00.00.0.0,Departamento de Zootecnia e Ciências Biológicas - PM,Campus da UFSM em Palmeira Das Missões,PM,Departamento Didático,Formal
33.21.00.00.0.0,Departamento de Ciências Agronômicas e Ambientais - FW,Campus da UFSM em Frederico Westphalen,FW,Departamento Didático,Formal
33.23.00.00.0.0,Departamento de Ciências da Comunicação - FW,Campus da UFSM em Frederico Westphalen,FW,Departamento Didático,Formal
33.25.00.00.0.0,Departamento de Engenharia e Tecnologia Ambiental - FW,Campus da UFSM em Frederico Westphalen,FW,Departamento Didático,Formal
33.22.00.00.0.0,Departamento de Engenharia Florestal - FW,Campus da UFSM em Frederico Westphalen,FW,Departamento Didático,Formal
33.24.00.00.0.0,Departamento de Tecnologia da Informação - FW,Campus da UFSM em Frederico Westphalen,FW,Departamento Didático,Formal
04.03.00.00.0.0,Vice-Direção do CCS,Centro de Ciências da Saúde,CCS,Direção de Unidade de Ensino,Formal
06.03.00.00.0.0,Vice-Direção do CCSH,Centro de Ciências Sociais e Humanas,CCSH,Direção de Unidade de Ensino,Formal
05.03.00.00.0.0,Vice-Direção do CE,Centro de Educação,CE,Direção de Unidade de Ensino,Formal
09.03.00.00.0.0,Vice-Direção do CEFD,Centro de Educação Física e Desportos,CEFD,Direção de Unidade de Ensino,Formal
07.03.00.00.0.0,Vice-Direção do CT,Centro de Tecnologia,CT,Direção de Unidade de Ensino,Formal
26.07.00.00.0.0,Vice-Direção do Colégio Politécnico,Colégio Politécnico,POLI,Direção de Unidade de Ensino,Formal
25.07.00.00.0.0,Vice-Direção Colégio Técnico Industrial - CTISM,Colégio Técnico Industrial de Santa Maria,CTISM,Direção de Unidade de Ensino,Formal
29.07.00.00.0.0,Vice-Direção Unidade de Educação Infantil Ipê Amarelo,Unidade de Educação Infantil Ipê Amarelo,UEIIA,Direção de Unidade de Ensino,Formal
